"";"price";"room_type";"minimum_nights";"reviews_per_month";"neighbourhood_group";"neighbourhood";"within1km";"within5km"
"1";130;"Entire home/apt";2;0,29;"Manhattan";"Midtown";153;2066
"2";75;"Entire home/apt";3;0,01;"Queens";"Ditmars Steinway";25;854
"3";250;"Entire home/apt";3;2,12;"Queens";"St. Albans";4;56
"4";100;"Private room";4;2,44;"Manhattan";"Hell's Kitchen";207;1523
"5";52;"Private room";1;0,4;"Manhattan";"Washington Heights";51;489
"6";90;"Entire home/apt";4;1;"Brooklyn";"Flatbush";91;1091
"7";200;"Private room";1;NA;"Manhattan";"East Village";309;2040
"8";130;"Entire home/apt";2;3,99;"Brooklyn";"Bushwick";82;1252
"9";250;"Entire home/apt";3;0,08;"Manhattan";"West Village";161;1712
"10";199;"Entire home/apt";5;0,08;"Manhattan";"West Village";152;1620
"11";135;"Entire home/apt";2;0,04;"Manhattan";"Upper West Side";125;1098
"12";200;"Entire home/apt";2;0,05;"Manhattan";"Chelsea";138;1659
"13";100;"Entire home/apt";7;0,05;"Queens";"Astoria";66;928
"14";36;"Private room";1;0,1;"Brooklyn";"Clinton Hill";59;2385
"15";160;"Entire home/apt";2;0,05;"Brooklyn";"Williamsburg";271;2363
"16";49;"Private room";30;NA;"Queens";"Woodside";25;629
"17";38;"Private room";2;NA;"Brooklyn";"Borough Park";6;620
"18";140;"Entire home/apt";5;0,25;"Brooklyn";"Bushwick";170;1597
"19";65;"Private room";4;0,41;"Brooklyn";"Williamsburg";256;2279
"20";189;"Private room";1;0,09;"Manhattan";"Gramercy";182;2055
"21";300;"Entire home/apt";3;0,08;"Manhattan";"Upper East Side";90;1792
"22";200;"Entire home/apt";1;0,06;"Brooklyn";"Kensington";35;713
"23";69;"Private room";7;0,64;"Queens";"Jackson Heights";26;388
"24";180;"Entire home/apt";3;2,79;"Manhattan";"Greenwich Village";182;1806
"25";95;"Entire home/apt";4;NA;"Brooklyn";"Park Slope";111;1876
"26";70;"Private room";1;4,74;"Manhattan";"Lower East Side";126;2079
"27";85;"Entire home/apt";1;1;"Bronx";"Longwood";6;642
"28";82;"Entire home/apt";8;1,33;"Brooklyn";"Crown Heights";109;1757
"29";45;"Entire home/apt";2;0,12;"Manhattan";"Morningside Heights";52;812
"30";130;"Entire home/apt";2;0,47;"Queens";"Astoria";53;1143
"31";48;"Private room";30;NA;"Brooklyn";"Fort Greene";62;2326
"32";142;"Entire home/apt";29;0,09;"Manhattan";"Financial District";92;1433
"33";70;"Private room";3;3,07;"Brooklyn";"Flatbush";38;698
"34";45;"Private room";1;0,05;"Manhattan";"Harlem";123;662
"35";99;"Entire home/apt";3;2,65;"Queens";"Middle Village";3;631
"36";240;"Entire home/apt";7;1,98;"Manhattan";"Financial District";96;1430
"37";75;"Entire home/apt";1;3,95;"Bronx";"Westchester Square";4;44
"38";100;"Private room";250;1,47;"Manhattan";"Harlem";155;955
"39";130;"Entire home/apt";3;1,76;"Manhattan";"Harlem";133;881
"40";285;"Entire home/apt";2;0,74;"Manhattan";"Chelsea";115;1561
"41";60;"Private room";4;NA;"Brooklyn";"Bushwick";155;1804
"42";95;"Entire home/apt";2;1,61;"Brooklyn";"Prospect-Lefferts Gardens";82;1148
"43";300;"Entire home/apt";2;1,36;"Manhattan";"Lower East Side";213;2121
"44";90;"Private room";3;NA;"Brooklyn";"Williamsburg";172;2230
"45";38;"Private room";2;4,27;"Brooklyn";"Midwood";7;317
"46";88;"Private room";1;NA;"Manhattan";"Upper West Side";119;1022
"47";70;"Private room";3;0,3;"Queens";"Sunnyside";20;1174
"48";199;"Entire home/apt";3;NA;"Manhattan";"Hell's Kitchen";200;1555
"49";176;"Entire home/apt";2;0,13;"Manhattan";"East Village";290;2113
"50";115;"Entire home/apt";4;0,14;"Queens";"Middle Village";3;636
"51";140;"Entire home/apt";2;2,4;"Brooklyn";"Sunset Park";64;900
"52";55;"Private room";2;4,65;"Bronx";"Mount Eden";3;399
"53";100;"Private room";1;13,3;"Queens";"Springfield Gardens";4;65
"54";90;"Entire home/apt";7;0,17;"Brooklyn";"Sunset Park";24;477
"55";150;"Entire home/apt";2;0,06;"Brooklyn";"Prospect Heights";112;1904
"56";55;"Private room";2;2,35;"Queens";"Maspeth";2;717
"57";299;"Private room";1;0,08;"Manhattan";"Upper West Side";105;1089
"58";285;"Entire home/apt";3;1,8;"Manhattan";"Hell's Kitchen";215;1649
"59";80;"Private room";1;0,28;"Queens";"East Elmhurst";10;271
"60";130;"Private room";2;1,58;"Manhattan";"East Village";299;2075
"61";29;"Private room";1;1,73;"Brooklyn";"Sunset Park";23;353
"62";169;"Private room";7;1;"Manhattan";"Financial District";94;1610
"63";185;"Entire home/apt";1;1,34;"Brooklyn";"Williamsburg";300;2450
"64";105;"Entire home/apt";4;0,18;"Brooklyn";"Kensington";31;780
"65";219;"Entire home/apt";4;1,29;"Manhattan";"Upper West Side";85;1211
"66";249;"Entire home/apt";7;2;"Brooklyn";"Bushwick";180;1722
"67";250;"Entire home/apt";17;NA;"Manhattan";"East Harlem";150;980
"68";143;"Entire home/apt";4;NA;"Manhattan";"Lower East Side";298;2161
"69";60;"Private room";1;3,29;"Queens";"Astoria";43;692
"70";349;"Entire home/apt";2;NA;"Manhattan";"Inwood";22;210
"71";85;"Private room";2;NA;"Brooklyn";"Bedford-Stuyvesant";172;1710
"72";109;"Private room";1;1,23;"Queens";"Long Island City";21;1933
"73";79;"Entire home/apt";2;0,13;"Brooklyn";"Flatbush";57;926
"74";300;"Entire home/apt";2;NA;"Brooklyn";"Gravesend";6;71
"75";115;"Entire home/apt";2;0,8;"Manhattan";"East Village";240;2268
"76";55;"Private room";3;0,04;"Manhattan";"Upper West Side";78;1295
